0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,68,68,68,30,19,19,19,50,73,35,69,74,108,59,48
0,68,0,0,0,99,87,87,87,50,27,81,46,74,40,127,116
0,68,0,0,0,99,87,87,87,50,27,81,46,74,40,127,116
0,68,0,0,0,99,87,87,87,50,27,81,46,74,40,127,116
0,30,99,99,99,0,11,11,11,65,87,50,84,89,123,51,62
0,19,87,87,87,11,0,0,0,53,76,38,73,77,111,40,51
0,19,87,87,87,11,0,0,0,53,76,38,73,77,111,40,51
0,19,87,87,87,11,0,0,0,53,76,38,73,77,111,40,51
0,50,50,50,50,65,53,53,53,0,22,30,19,24,58,77,66
0,73,27,27,27,87,76,76,76,22,0,53,19,46,35,100,89
0,35,81,81,81,50,38,38,38,30,53,0,34,38,73,46,35
0,69,46,46,46,84,73,73,73,19,19,34,0,27,38,81,69
0,74,74,74,74,89,77,77,77,24,46,38,27,0,34,53,42
0,108,40,40,40,123,111,111,111,58,35,73,38,34,0,87,76
0,59,127,127,127,51,40,40,40,77,100,46,81,53,87,0,11
0,48,116,116,116,62,51,51,51,66,89,35,69,42,76,11,0
